"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 02- 27","502.41","496.45","504.95","495.61","4.51M","1.68%"
"2025- 02- 26","494.10","499.11","499.90","493.05","3.54M","-1.14%"
"2025- 02- 25","499.82","503.15","507.00","491.90","6.76M","0.28%"
"2025- 02- 24","498.42","483.50","503.96","483.24","9.86M","4.11%"
"2025- 02- 21","478.74","480.95","483.64","477.74","4.09M","-0.64%"
"2025- 02- 20","481.80","484.13","484.20","478.14","2.65M","-0.41%"
"2025- 02- 19","483.77","482.82","484.72","480.68","2.44M","0.20%"
"2025- 02- 18","482.82","480.40","484.06","477.63","3.35M","0.67%"
"2025- 02- 14","479.59","481.47","484.55","479.45","2.83M","-0.19%"
"2025- 02- 13","480.49","471.55","481.19","471.20","3.27M","1.86%"
"2025- 02- 12","471.73","470.44","472.15","468.09","3.30M","-0.19%"
"2025- 02- 11","472.61","470.05","473.05","466.71","2.32M","0.52%"
"2025- 02- 10","470.17","473.96","474.20","469.37","2.91M","-0.54%"
"2025- 02- 07","472.74","477.41","478.25","472.34","3.21M","-0.94%"
